SegmentID	Link_Key	BookingID	DocumentNumber	Leg	AirlineCode	DepartCityCode	DepartDate	DepartTime	FlightNumber	ArriveCityCode	ArriveDate	ArriveTime	ConnectionCode	FareBasis	SegmentFare	Class	TicketDesignator	Mileage	SeatAssignment	EquipmentType	
79539	531VZSNRT	531	3326570322	1	AM	MEX	27/12/2019	13:35	511	VSA	27/12/2019	15:05	 	QNNB0QCM/C	1803.00	Q		427			
79540	532QBYJCN	532	3326570307	1	AM	MEX	26/12/2019	06:01	900	MTY	26/12/2019	07:55	 	QNQB0QCM/C	2070.00	Q		444			
79541	532QBYJCN	532	3326570307	2	AM	MTY	26/12/2019	21:35	943	MEX	26/12/2019	23:15	O	QNQB0QCM/C	2070.00	Q		444			
79542	534HLHWNY	534	7380086272	1	4O	MEX	08/01/2020	08:00	2364	CUN	08/01/2020	11:15			0.00	Y		820			
79543	534HLHWNY	534	7380086272	2	4O	CUN	15/01/2020	18:55	2387	MEX	15/01/2020	20:30			0.00	Y		820			
79544	536BWWGIY	536	3326570314	1	AM	VER	24/12/2019	07:55	2085	MEX	24/12/2019	09:05	 	ELNN0QCM/C	0.00	E		204			
79545	536BWWGIY	536	3326570314	2	AM	MEX	24/12/2019	10:15	2564	ZLO	24/12/2019	11:50	X	ELNN0QCM/C	2447.00	E		328			
79546	538IRJBQU	538	3326570318	1	AM	MEX	26/12/2019	06:01	102	GDL	26/12/2019	07:40	 	ENOB6QCM/C	752.00	E		272			
79547	538IRJBQU	538	3326570318	2	AM	GDL	26/12/2019	19:20	281	MEX	26/12/2019	20:45	O	UNQN0ACM/C	2047.00	E		272			
79548	540BOLCVP	540	3326570319	1	AM	MEX	05/01/2020	22:00	186	GDL	05/01/2020	23:30	 	NNOH2QCA/C	821.00	N		272			
79549	540BOLCVP	540	3326570319	2	AM	GDL	10/01/2020	20:10	113	MEX	10/01/2020	21:45	O	NNQB2QCM/C	893.00	N		272			
79550	542FCGYPD	542	3326570320	1	AM	MEX	26/12/2019	06:01	102	GDL	26/12/2019	07:40	 	ENOB6QCM/C	752.00	E		272			
79551	542FCGYPD	542	3326570320	2	AM	GDL	26/12/2019	19:20	281	MEX	26/12/2019	20:45	O	UNQN0ACM/C	2047.00	E		272			
79552	545IFPTRR	545	3326570323	1	AM	ZLO	24/12/2019	12:25	2565	MEX	24/12/2019	13:55	 	ULNN0QCM/C	0.00	U		328			
79553	545IFPTRR	545	3326570323	2	AM	MEX	24/12/2019	17:30	166	CUL	24/12/2019	18:53	X	ULNN0QCM/C	3015.00	U		641			
79554	546CXMOWZ	546	3326570327	1	AM	MEX	15/01/2020	01:15	694	YVR	15/01/2020	05:30	 	HLNN6MCI  	533.11	H		2447			
79555	546CXMOWZ	546	3326570327	2	AM	YVR	18/01/2020	07:01	695	MEX	18/01/2020	14:50	O	RNNHG8CV  	175.57	H		2447			
79556	548QEJZAB	548	3326570328	1	AM	DGO	12/01/2020	06:01	2929	MEX	12/01/2020	07:30	 	UNNN0ACM/C	0.00	T		469			
79557	548QEJZAB	548	3326570328	2	AM	MEX	12/01/2020	10:15	2564	ZLO	12/01/2020	11:35	X	UNNN0ACM/C	3409.00	T		328			
79558	548QEJZAB	548	3326570328	3	AM	ZLO	14/01/2020	20:55	2569	MEX	14/01/2020	22:40	O	ENNN0QCM/C	0.00	T		328			
79559	548QEJZAB	548	3326570328	4	AM	MEX	18/01/2020	21:20	2432	DGO	18/01/2020	23:07	X	ENNN0QCM/C	2003.00	T		469			
79560	549QEJZAB	549	1856832860	5	AM	DGO	12/01/2020	06:01	2929	MEX	12/01/2020	07:30	 	UNNN0ACM/C	0.00	T		469			
79561	549QEJZAB	549	1856832860	6	AM	MEX	12/01/2020	10:15	2564	ZLO	12/01/2020	11:35	X	UNNN0ACM/C	3409.00	T		328			
79562	549QEJZAB	549	1856832860	7	AM	ZLO	14/01/2020	20:55	2569	MEX	14/01/2020	22:40	O	ENNN0QCM/C	0.00	T		328			
79563	549QEJZAB	549	1856832860	8	AM	MEX	18/01/2020	21:20	2432	DGO	18/01/2020	23:07	X	ENNN0QCM/C	2003.00	T		469			
79564	552XCTUQM	552	3326570339	1	AM	MTT	26/12/2019	19:25	2525	MEX	26/12/2019	20:55	 	MNNN0ACM/C	2092.00	M		327			
79565	552XCTUQM	552	3326570339	2	AM	MEX	28/12/2019	11:35	2520	MTT	28/12/2019	12:58	O	MNNN0ACM/C	2092.00	M		327			
