Link_Key	BookingID	UdidNumber	UdidValue	UdidDefinitions	
530IFPTRR	530	1	IFPTRR		
530IFPTRR	530	2	CCJKTT		
530IFPTRR	530	4	N		
530IFPTRR	530	11	F420201	COMPANY	
530IFPTRR	530	12	CS		
530IFPTRR	530	13	0000	CODIGO GINEBRA	
530IFPTRR	530	14	30-XX	SECTOR	
530IFPTRR	530	15	182	LOCATION	
530IFPTRR	530	17	SGS DE MEXICO-BA27980	PROYECT NUMBER	
530IFPTRR	530	18	JENNIFER DIAZ	AUTORIZADOR	
530IFPTRR	530	25	3100	ACTIVITY	
530IFPTRR	530	26	0	COST LEVEL	
530IFPTRR	530	35			
530IFPTRR	530	37			
530IFPTRR	530	39			
530IFPTRR	530	46	97146	GROUP ID	
531VZSNRT	531	1	VZSNRT		
531VZSNRT	531	2	VZSNEA		
531VZSNRT	531	4	N		
531VZSNRT	531	11	F424301	COMPANY	
531VZSNRT	531	12	CS		
531VZSNRT	531	13	0000	CODIGO GINEBRA	
531VZSNRT	531	14	520-XX	SECTOR	
531VZSNRT	531	15	362	LOCATION	
531VZSNRT	531	17	SGS DE MEXICO-BA27973	PROYECT NUMBER	
531VZSNRT	531	18	JENNIFER DIAZ	AUTORIZADOR	
531VZSNRT	531	25	5280	ACTIVITY	
531VZSNRT	531	26	0	COST LEVEL	
531VZSNRT	531	35			
531VZSNRT	531	37			
531VZSNRT	531	39			
531VZSNRT	531	46	97146	GROUP ID	
532QBYJCN	532	1	QBYJCN		
532QBYJCN	532	2	IPPEIT		
532QBYJCN	532	4	N		
532QBYJCN	532	11	F420401	COMPANY	
532QBYJCN	532	12	CS		
532QBYJCN	532	13	0000	CODIGO GINEBRA	
532QBYJCN	532	14	40-XX	SECTOR	
532QBYJCN	532	15	NAUCALPAN	LOCATION	
532QBYJCN	532	17	SGS DE MEXICO-BA27976	PROYECT NUMBER	
532QBYJCN	532	18	JENNIFER DIAZ	AUTORIZADOR	
532QBYJCN	532	25	4510	ACTIVITY	
532QBYJCN	532	26	0	COST LEVEL	
532QBYJCN	532	35			
532QBYJCN	532	37			
532QBYJCN	532	39			
532QBYJCN	532	46	97146	GROUP ID	
533QBYJCN	533	1	QBYJCN		
533QBYJCN	533	2	IPPEIT		
533QBYJCN	533	4	N		
533QBYJCN	533	11	F420401	COMPANY	
533QBYJCN	533	12	CS		
533QBYJCN	533	13	0000	CODIGO GINEBRA	
533QBYJCN	533	14	40-XX	SECTOR	
533QBYJCN	533	15	NAUCALPAN	LOCATION	
